Frame	2_bonds	no_bonds	303_350
0	2.028713	5.156887	4.514213
1	1.979625	4.628815	3.907197
2	2.109188	4.913364	4.448136
3	2.004897	5.243764	4.471009
4	2.050572	4.722561	4.366064
5	2.052575	4.353758	4.141988
6	2.079887	3.824951	4.893555
7	2.076359	3.639156	4.570196
8	2.051480	4.378022	4.854011
9	1.978797	4.647429	4.407453
10	2.032388	5.254315	4.855291
11	1.999844	5.577123	4.759940
12	2.054791	4.532625	3.948972
13	1.997131	4.515369	4.210751
14	2.099180	4.825130	4.953067
15	2.039468	3.547669	4.888699
16	2.044928	4.245310	4.711833
17	1.986543	4.965503	4.342556
18	2.007306	3.896060	5.242772
19	2.059184	4.120213	4.198328
20	1.929398	3.881696	4.683879
21	1.983227	3.963133	4.942566
22	2.067595	4.357715	4.073099
23	1.976947	4.451517	4.023003
24	1.977354	3.838996	5.308107
25	2.005758	4.356212	4.475748
26	2.039288	4.026827	4.877142
27	2.054021	3.328336	3.393051
28	2.084039	3.626571	3.823100
29	1.962707	3.747343	4.328499
30	2.039332	3.319912	3.895239
31	2.055851	3.611209	4.130613
32	2.049077	3.768465	3.721895
33	2.127811	4.162133	4.577824
34	2.050697	3.728160	3.661113
35	2.054321	3.606799	4.805227
36	2.015081	3.760152	4.524481
37	2.036091	3.683683	5.317375
38	2.079290	3.266834	4.987132
39	2.062768	3.698015	4.326084
40	1.948386	4.235092	3.768110
41	2.010551	3.853218	4.174271
42	2.012440	3.723675	4.602401
43	2.044540	3.926488	5.900819
44	1.990006	4.097438	4.781067
45	1.987082	4.400893	3.909069
46	2.015533	3.524287	4.823224
47	1.983393	4.306143	4.053800
48	2.075232	4.575061	4.464036
49	2.068644	3.724665	3.462481
50	2.001658	3.747555	4.950039
51	2.031053	3.694798	4.057434
52	2.055505	4.130190	3.891972
53	2.056535	3.898508	4.487704
54	2.021514	4.669380	4.093946
55	1.988874	4.093231	3.444699
56	2.027325	5.135788	3.960399
57	2.088448	3.663889	4.037159
58	1.972308	3.738064	3.883350
59	2.109510	4.230490	3.519099
60	2.102129	4.846773	4.110039
61	2.003941	4.339925	3.739972
62	2.050380	3.782448	3.534143
63	1.989731	4.058085	3.939815
64	2.027182	4.737544	5.577609
65	1.993963	4.681366	4.777672
66	1.985609	4.446922	4.461000
67	2.062253	5.182606	5.665002
68	2.004032	4.586658	4.947269
69	2.028538	4.957541	4.414948
70	1.981260	3.868732	4.965997
71	1.907241	4.296828	5.679341
72	2.021950	4.905737	3.593304
73	2.030322	4.360925	4.020192
74	2.068095	4.611074	4.211980
75	2.025259	5.422181	3.377514
76	2.009511	4.277305	4.801079
77	2.040917	4.280865	4.898961
78	1.993621	4.354735	3.665593
79	2.045553	4.077723	3.841125
80	2.045914	4.092730	4.513980
81	1.992236	4.971526	4.362864
82	1.986281	4.195965	4.497565
83	2.061497	4.146414	3.990331
84	1.974449	3.946877	4.192353
85	2.036514	3.853765	3.688128
86	2.031799	5.154465	3.866230
87	1.983473	5.077516	5.067774
88	1.989245	4.511189	4.568415
89	2.001999	5.135010	4.749247
90	2.052919	3.751100	3.965321
91	2.055269	3.794192	4.706071
92	1.989993	3.625845	4.461352
93	2.072418	4.739778	4.610307
94	2.101433	3.588956	5.065561
95	2.005310	4.674258	4.775417
96	2.068870	4.272167	4.716564
97	2.024268	4.328235	5.373856
98	2.076398	3.675536	4.786826
99	2.016217	4.224586	3.575862
100	2.065537	4.467604	4.307820
101	2.042920	4.161303	4.146548
102	2.083086	4.959531	4.087977
103	2.021002	4.224676	3.914372
104	2.024770	4.124334	3.730470
105	1.965171	4.338992	4.417100
106	2.027349	3.908796	4.058687
107	1.992781	4.903945	4.623051
108	2.042096	5.333067	5.418419
109	2.024865	4.203694	4.807147
110	1.997837	5.206352	3.978394
111	2.026464	4.810888	4.486518
112	2.029756	4.965878	4.093214
113	2.085651	4.915570	3.234618
114	2.015727	4.659435	4.335757
115	2.060266	5.318259	3.568000
116	2.133304	4.355778	3.913274
117	2.054886	5.166513	4.165226
118	1.978485	3.872316	4.270138
119	2.001065	3.830999	4.240370
120	2.063858	3.731193	4.821322
121	2.023077	4.399488	4.324725
122	2.037766	3.583874	4.332032
123	2.022723	4.276814	4.139743
124	2.011492	3.431033	4.956896
125	1.954410	3.511421	4.855762
126	1.896822	4.457621	4.933551
127	2.056403	3.781609	4.998472
128	2.050813	4.152701	5.548298
129	2.064199	3.501468	4.733898
130	2.001389	4.014981	4.344937
131	2.012336	3.434508	3.832701
132	2.079496	3.365758	3.521865
133	2.060718	3.691821	5.204428
134	2.064363	5.356936	4.601662
135	1.994186	4.323043	3.757842
136	2.024311	5.044732	5.058822
137	1.988905	4.231267	4.163784
138	2.127455	5.224509	4.193807
139	2.029121	4.011892	4.369319
140	1.969852	4.320268	3.990018
141	1.980594	3.967252	6.154030
142	2.011825	4.422319	4.433971
143	2.087741	4.349007	4.187598
144	2.009522	4.417247	4.446686
145	2.053497	3.895288	4.912782
146	2.085268	5.734966	5.015038
147	2.016331	4.448401	4.306056
148	2.092341	4.803305	4.834518
149	2.063411	4.543539	4.914587
150	2.007741	4.123992	4.965601
151	2.084585	4.562545	3.901881
152	2.001971	3.647341	5.082198
153	1.968077	3.668675	5.062967
154	2.092208	4.658579	3.862510
155	2.041612	4.328240	3.996757
156	2.005924	4.679621	4.233607
157	1.960130	4.045699	3.717361
158	2.079667	4.036076	4.379264
159	1.998448	3.460721	4.243174
160	2.057979	3.620906	5.066286
161	1.977440	4.265288	4.182517
162	2.058477	3.818493	4.459899
163	2.087538	3.607977	3.649837
164	1.982258	5.120987	3.953354
165	1.990555	4.275288	4.650200
166	1.990193	4.190465	4.018138
167	1.981948	3.599082	3.771234
168	2.017219	4.480707	4.004891
